age,title,bill_id,bill_number,content
20,2016년도 외국환평형기금운용계획변경안,PRC_M1K6B0U7N2Q6S1D1M0E4T5J1T7Z0C4,2001174,
20,2020년도 공공자금관리기금운용계획변경안,PRC_A2U0H0Z4M1D6S1U4Y2J9G3W7M7U3F9,2024843,
20,2018회계연도 예비비지출 승인의 건,PRC_B1W9G0P5Q3Z1M1W1F2Y8C5F8J5C6A7,2020739,
20,2020년도 신용보증기금운용계획변경안,PRC_F2V0Y0Y3U0U5Z0T9J3C0W2W2B8O2S6,2024738,
20,2019년도 정보통신진흥기금운용계획변경안,PRC_A1V9M0E4T2H5E1M0S0Z0S3Q8F4Q1E3,2020009,
21,2022년도 수산발전기금운용계획변경안,PRC_V2F2S0P5B1K3O0Z9J5G7M4G7Y2G5H2,2115586,
21,2020년도 산업기반신용보증기금운용계획변경안,PRC_K2C0J0Q6N0F4Y0Q9Q4O1K5U0D5Z3W2,2100126,
21,2021년도 주택도시기금운용계획변경안,PRC_W2L1L0S7P0I2D0I9Z5U2K3E8L1B2U8,2111294,
21,2021년도 정보통신진흥기금운용계획변경안,PRC_V2B1V0O3N0D4J0V9E1O5K4Z5H7O6B5,2108499,
21,2020년도 고용보험기금운용계획변경안,PRC_I2W0H0K9K1W1N0K9V1A1Y5J2E7J6E3,2103754,
21,2022회계연도 결산 관련 감사원에 대한 감사요구안,PRC_H2H3C1Z2U1U2E1T6P0F4E2R2Z8M6F7,2126021,
21,2021년도 국민체육진흥기금운용계획변경안,PRC_N2N1N0K7J0O2B0U9V4F8S1Z1X3H0T9,2111287,
21,2021년도 영화발전기금운용계획변경안,PRC_S2I1K0U7S0A2T0Q9C5F0J3B5O3Q8Q9,2111290,
21,2021회계연도 한국방송공사 결산 승인안 ,PRC_S2D2E0O5B2S7A1T7O4Y9L1C6Z1H4S2,2115783,
21,2020년도 관광진흥개발기금운용계획변경안,PRC_D2I0F0T6N0L4W0G9U4B5E2K1S9R3S7,2100134,
21,2020년도 자유무역협정이행지원기금운용계획변경안,PRC_V2V0Y0T6A0J4N0S9D4J6P4Z7P9C4K3,2100138,
21,2022년도 축산발전기금운용계획변경안,PRC_N2S2P0T5P1A3U0K9F5M4P5Q2N6E0O7,2115583,
21,2021년도 장애인고용촉진 및 직업재활기금운용계획변경안,PRC_N2S1Q0V7U0F2D0M9M5B2C0T9I7M6B5,2111293,
21,2022회계연도 한국교육방송공사 결산 승인안,PRC_K2V3W0A5S3Z1Y1Y7Z2R1X1Y0G7Y6J7,2122413,
