age,title,bill_id,bill_number,content
20,대한민국 정부와 칠레공화국 정부 간의 사회보장에 관한 협정 비준동의안,PRC_F1N6W0X7X1R4A1Y6B1K2Y2Q0F8V8U3,2000870,
20,국회의원윤리실천규범 일부개정규칙안,PRC_Q1N7Q0U2H2O2A1W0Q1U4G5E0X8F2J1,2005892,
20,진실·화해를 위한 과거사정리 기본법 일부개정법률안(대안),PRC_D2E0K0I5F1H9X1C3I3A3Y2I7W8O9X2,2024993,
20,2020년도에 발행하는 예금보험기금채권상환기금채권에 대한 국가보증동의안,PRC_T1S9B0T9I0Y3P1B0S3I6T3Q2G6H7B9,2022307,
20,2017년도 임대형 민자사업(BTL) 한도액안,PRC_N1A6J0I9D0Z2G2Z0F0E5X1T8Z8X1E9,2002053,
20,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안(대안),PRC_C2L0D0D4A2R9H1S8S0P7T5W5Q1K6B5,2024883,
20,국군부대의 「국제연합 남수단 임무단(UNMISS)」 파견연장 동의안,PRC_O1H8D1U0Z2P6H1C0P3I0Z4P3V1D4Y7,2016076,
20,조세특례제한법 일부개정법률안(대안),PRC_A2I0P0H4R2P9X1Z5G2Q0Y0L0Y9A7J0,2024895,
20,세원잠식 및 소득이전 방지 목적의 조세조약 관련 조치 이행을 위한 다자협약 비준동의안,PRC_B1V9U0T8V2A0S1F4B3N8Y3G4J0K9M3,2022038,
20,국회상임위원회 위원정수에 관한 규칙 전부개정규칙안,PRC_T1Z8A0K7T1J3H1F4D3F4R5N0W2D2W0,2014440,
20,자전거 이용 활성화에 관한 법률 일부개정법률안(대안),PRC_E2I0R0G5R1O4A1U8X1O6P5Y0M8R5J6,2024989,
20,저출산·고령화 대책 전담 총괄기구 마련 촉구 결의안,PRC_B1L6M1K0L2F4D1Q1P0B0D2H0O2R5E5,2003229,
20,대한민국과 세르비아공화국 간의 소득에 대한 조세의 이중과세 방지를 위한 협약 비준동의안,PRC_E1X6U0F7M1K4B1X6L3D0U0Z3N2L5M0,2000877,
20,대한민국 정부와 룩셈부르크대공국 정부 간의 사회보장에 관한 협정 비준동의안,PRC_T1Q8T0V6G1G2E1N4T5X4B1L2V0D6D0,2013911,
20,국군부대의 「국제연합 남수단 임무단(UNMISS)」 파견연장 동의안,PRC_Q1R7I1M0Y2Z7C1F3X3W7E1M1N8V5Z3,2009945,
20,의사일정 변경동의의 건,PRC_T2F0T0B1E0U9D2M1N0Y6U0G5D0R6F4,2024499,
20,대북확성기 전력화 사업 관련 감사원에 대한 감사요구안,PRC_T1J7O0L8A2I2W1Z9D5O3Z1B5V4M0G0,2008666,
20,남북관계개선 특별위원회 구성결의안,PRC_Q1J6M0A7U0K5U1H8O1V1S2U8A7X9M1,2000696,
20,국군부대의 「국제연합 레바논 평화유지군(UNIFIL)」 파견연장 동의안,PRC_I1X7N1P0W2O7C1E3J3M9I1V1K7A5P6,2009946,
20,부마민주항쟁 관련자의 명예회복 및 보상 등에 관한 법률 일부개정법률안(대안),PRC_C2Y0Z0Y5N1D4D1S8F1A9B2D8N7F0M8,2024987,
20,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사 결과보고서 채택의 건,PRC_U1E7J0G1Z2R0R1Q1B2F4B5R6J4U4S4,2005178,
20,일본 초등 교과서 검정 시정 촉구 결의안,PRC_B1J9U0I4G0A3R0U9O5R1A0K6E1M4N9,2019564,
20,"1980년 2월 12일 베른에서 서명되고 2010년 12월 28일 서울에서 서명된 의정서를 통해 개정된, 대한민국 정부와 스위스연방 정부 간의 소득에 대한 조세의 이중과세회피를 위한 협약의 개정의정서 비준동의안",PRC_X1M9Z0B8I2B0I1P4T3Y9M3J8D9U0P7,2022041,
20,대한민국 정부와 미얀마연방공화국 정부 간의 투자의 증진 및 보호에 관한 협정 비준동의안,PRC_S1T8J0G6W1N2T1C5X4S3O4O5U8Y9J7,2013913,
20,대한민국과 키르기즈공화국 간의 수형자 이송 조약 비준동의안,PRC_P1S8J1O2S2C8X1F1P2F7P5X2W0W8N7,2017844,
